title,rating,num_votes,year
The Accountant,7.3,225812,2016
The Cabin in the Woods,7.0,331494,2011
The Machinist,7.7,324614,2004
The Bad Batch,5.3,19266,2016
Happy Feet,6.5,154639,2006
22 July,6.8,16496,2018
Cloud Atlas,7.5,322265,2012
Austin Powers: The Spy Who Shagged Me,6.6,200748,1999
The Sound of Music,8.0,178144,1965
There's Something About Mary,7.1,271466,1998
The Fast and the Furious,6.8,314517,2001
Stand by Me,8.1,327185,1986
The Mist,7.2,256154,2007
Traffic,7.6,184321,2000
The Night Comes for Us,7.1,11478,2018
The Huntsman: Winter's War,6.1,84814,2016
Kick-Ass,7.6,489794,2010
The Truman Show,8.1,817421,1998
Matilda,6.9,108072,1996
The Punisher,6.5,140283,2004
Captain Fantastic,7.9,152383,2016
Skyfall,7.8,584179,2012
X-Men Origins: Wolverine,6.6,426870,2009
Lo imposible,7.6,173678,2012
The Imitation Game,8.0,602412,2014
V for Vendetta,8.2,935550,2005
Lost in Translation,7.8,367849,2003
X-Men,7.4,524603,2000
Starship Troopers,7.2,247855,1997
Terminator Genisys,6.4,228924,2015
The Addams Family,6.9,113205,1991
Traffik,6.0,15678,2018
Jersey Boys,6.8,29791,2014
The Amazing Spider-Man 2,6.6,379504,2014
Dodgeball: A True Underdog Story,6.7,210090,2004
Peter Rabbit,6.6,25098,2018
Down a Dark Hall,5.2,6741,2018
Logan Lucky,7.0,100728,2017
A Knight's Tale,6.9,154931,2001
Ghost in the Shell,6.4,168185,2017
The Hobbit: The Desolation of Smaug,7.8,556665,2013
E.T. the Extra-Terrestrial,7.9,330293,1982
Divergent,6.7,393186,2014
The Jungle Book,7.4,236350,2016
Eastern Promises,7.7,211316,2007
Aliens,8.4,587811,1986
Blended,6.5,104163,2014
Blue Valentine,7.4,166983,2010
This Is Where I Leave You,6.6,64069,2014
Hook,6.7,209860,1991
Law Abiding Citizen,7.4,248112,2009
Footloose,6.5,62197,1984
Pretty Woman,7.0,253823,1990
Toy Story,8.3,770629,1995
Ferris Bueller's Day Off,7.8,283574,1986
The Dirty Dozen,7.8,60540,1967
Sherlock Holmes: A Game of Shadows,7.5,387543,2011
Clueless,6.8,152150,1995
There Will Be Blood,8.2,453838,2007
Godzilla,6.4,341182,2014
The Place Beyond the Pines,7.3,222474,2012
Sky High,6.2,70942,2005
Inherent Vice,6.7,81014,2014
Casino Royale,8.0,530818,2006
Percy Jackson & the Olympians: The Lightning Thief,5.9,162310,2010
A Beautiful Mind,8.2,753264,2001
Sin City,8.0,709383,2005
Uncle Drew,5.7,7546,2018
Ghostbusters II,6.5,164313,1989
Furious Seven,7.2,329596,2015
Caligola,5.3,30776,1979
A Private War,6.9,1509,2018
That's My Boy,5.6,81198,2012
Zero Dark Thirty,7.4,245968,2012
West Side Story,7.6,85501,1961
Summer of 84,6.7,17542,2018
The Untouchables,7.9,250757,1987
Batman,7.5,307356,1989
The Mask,6.9,308093,1994
Jason Bourne,6.6,185726,2016
Lawless,7.3,211160,2012
Noah,5.8,225729,2014
The Dark Tower,5.7,101990,2017
10 Things I Hate About You,7.3,263500,1999
Thoroughbreds,6.7,22288,2017
10 Cloverfield Lane,7.2,253392,2016
Mystic River,8.0,382869,2003
A Cure for Wellness,6.4,67368,2016
Allied,7.1,121011,2016
Zombieland,7.7,448177,2009
Power Rangers,6.0,88480,2017
The First Purge,5.1,34903,2018
The Rider,7.5,7636,2017
Lured,7.0,2495,1947
Casino,8.2,405220,1995
Unsane,6.4,27802,2018
Hellboy II: The Golden Army,7.0,235452,2008
Mulholland Dr.,8.0,285451,2001
The Expendables,6.5,303465,2010
The Thing,8.1,322961,1982
Paddington 2,7.9,42089,2017
Winter Castle,6.5,264,2019
Argo,7.7,526040,2012
A Million Ways to Die in the West,6.1,157983,2014
The Indian in the Cupboard,6.0,23495,1995
Gone Baby Gone,7.7,229476,2007
Spider-Man 2,7.3,488254,2004
Bodied,7.3,2465,2017
The Terminator,8.0,713431,1984
Mars Attacks!,6.3,193661,1996
Deadly Switch,4.3,175,2019
The 40 Year Old Virgin,7.1,356260,2005
Quo Vadis,7.2,11926,1951
The Lovely Bones,6.7,142955,2009
The School of Rock,7.1,239447,2003
Green Lantern,5.5,248650,2011
Gone with the Wind,8.2,259056,1939
The Last Castle,6.9,64300,2001
American Assassin,6.2,55153,2017
The 15:17 to Paris,5.2,19495,2018
She's All That,5.9,76796,1999
Ferdinand,6.7,37306,2017
Into the Wild,8.1,515121,2007
Lolita,6.9,45741,1997
Mission: Impossible,7.1,352609,1996
Road House,6.5,52375,1989
Gotti,4.8,8125,2018
The Snowman,5.1,45080,2017
Backtrace,3.6,1010,2018
Independence Day,7.0,487176,1996
Total Recall,7.5,273443,1990
The Lego Batman Movie,7.3,109487,2017
Hannibal,6.8,233291,2001
The Maze Runner,6.8,379107,2014
Perfume: The Story of a Murderer,7.5,216080,2006
Office Christmas Party,5.8,57173,2016
Support the Girls,6.4,3149,2018
Stargate,7.1,163364,1994
Star Wars: Episode V - The Empire Strikes Back,8.8,1026349,1980
From Dusk Till Dawn,7.3,254746,1996
Miss Congeniality,6.2,165152,2000
Dracula,7.5,170129,1992
Pearl Harbor,6.1,288836,2001
Almost Famous,7.9,231861,2000
The Lego Movie,7.8,294544,2014
East of Eden,8.0,35778,1955
Greta,6.3,144,2018
Spring Breakers,5.3,124079,2012
What We Do in the Shadows,7.7,117403,2014
The Grinch,6.4,18220,2018
It Follows,6.8,176411,2014
The Cloverfield Paradox,5.6,77433,2018
What's Eating Gilbert Grape,7.8,194288,1993
The Lone Ranger,6.4,205835,2013
Pacific Rim,6.9,437191,2013
A River Runs Through It,7.3,48190,1992
Toy Story 3,8.3,664293,2010
Snow White and the Huntsman,6.1,255500,2012
Dallas Buyers Club,8.0,394313,2013
Forever My Girl,6.7,8218,2018
Oldboy,5.8,61741,2013
Underworld: Blood Wars,5.8,60873,2016
Serenity,7.9,266368,2005
Billionaire Boys Club,5.6,6689,2018
The Neon Demon,6.2,69672,2016
Couples Retreat,5.5,93159,2009
Primal Fear,7.7,159636,1996
After Earth,4.8,179101,2013
Terminator Salvation,6.6,316009,2009
Daddy Day Care,5.5,57288,2003
Cars,7.1,318966,2006
The Rock,7.4,288913,1996
Now You See Me 2,6.5,206646,2016
21 Jump Street,7.2,469404,2012
Maleficent,7.0,298464,2014
Southpaw,7.4,195279,2015
This Is the End,6.6,354740,2013
The Green Inferno,5.3,32101,2013
The Florida Project,7.6,66464,2017
Red Dragon,7.2,228227,2002
Flatliners,5.2,31777,2017
Dead Poets Society,8.1,356931,1989
Tangled,7.8,356355,2010
Idiocracy,6.6,129328,2006
Armageddon,6.7,363917,1998
Battle of the Sexes,6.7,40600,2017
From Here to Eternity,7.7,38796,1953
Only the Brave,7.7,41272,2017
The Wizard of Oz,8.0,345463,1939
Airplane!,7.8,186542,1980
Foxcatcher,7.0,124230,2014
Splendor in the Grass,7.8,15785,1961
Never Been Kissed,6.0,76230,1999
The Little Mermaid,7.6,206985,1989
Ghost,7.0,175554,1990
Green Room,7.0,86632,2015
Basic Instinct,6.9,153867,1992
Chappaquiddick,6.5,8490,2017
The Deer Hunter,8.1,279165,1978
Bad Boys,6.9,202690,1995
The Danish Girl,7.1,141874,2015
Looper,7.4,492066,2012
The Fault in Our Stars,7.7,307544,2014
Final Destination,6.7,206754,2000
Deepwater Horizon,7.1,129025,2016
The Foreigner,7.0,77135,2017
The Crow,7.6,152862,1994
Casablanca,8.5,465605,1942
After Darkness,4.3,93,2018
The Edge of Seventeen,7.4,80720,2016
Big Hero 6,7.8,357812,2014
Don Jon,6.6,213388,2013
Event Horizon,6.7,140791,1997
Beowulf,6.2,153704,2007
The Reader,7.6,214803,2008
The Aviator,7.5,302528,2004
The Man from U.N.C.L.E.,7.3,234835,2015
The Matrix Reloaded,7.2,470418,2003
